P_used, P_req, V_h, V_c, Re_h, Re_c, U [W/(m*degC)]
65, 212, 0.031247601163430658, 0.014792799084779594, 1270, 405, 253.07189542483658
66, 209, 0.030774152660954436, 0.014568665765313236, 1270, 405, 252.6315789473684
67, 206, 0.030314836949596906, 0.014351222992696621, 1270, 405, 252.18543046357618
68, 204, 0.02986903052386754, 0.0141401755957452, 1270, 405, 251.2751677852349
69, 207, 0.029436146023521632, 0.013935245514647443, 1270, 405, 244.62585034013608
70, 205, 0.02901562965175704, 0.013736170578723908, 1270, 405, 242.48618784530385
71, 203, 0.028606958811591445, 0.013542703387474276, 1270, 405, 242.03059805285116
72, 204, 0.028209639939208234, 0.013354610284870467, 1270, 405, 237.06293706293704
73, 202, 0.02782320651538346, 0.013171670417954433, 1270, 405, 236.17021276595744
74, 204, 0.02744721723814855, 0.01299367487176586, 1270, 405, 230.74712643678163
75, 202, 0.027081254341639903, 0.012820425873475648, 1270, 405, 230.30390738060782
76, 200, 0.026724922047670956, 0.012651736059350969, 1270, 405, 229.85422740524785
77, 202, 0.026377845137960945, 0.012487427798839917, 1270, 405, 224.43131462333824
78, 200, 0.026039667636192216, 0.012327332570649661, 1270, 405, 223.9880952380952
79, 197, 0.025710051590164464, 0.012171290386211057, 1270, 405, 223.53823088455772
80, 200, 0.02538867594528741, 0.01201914925638342, 1270, 405, 218.1155015197568
81, 198, 0.02507523550151843, 0.011870764697662637, 1270, 405, 217.67228177641653
82, 196, 0.02476943994662186, 0.011725999274520409, 1270, 405, 217.2222222222222
83, 199, 0.024471012959313164, 0.011584722174827393, 1270, 405, 211.17462803445576
84, 197, 0.0241796913764642, 0.011446808815603258, 1270, 405, 210.73401736385162
85, 195, 0.023895224419094033, 0.01131214047659616, 1270, 405, 210.28639618138425
86, 193, 0.02361737297236038, 0.011180603959426437, 1270, 405, 209.83159582999195
87, 196, 0.02334590891520681, 0.011052091270237627, 1270, 405, 204.85875706214688
88, 194, 0.023080614495715825, 0.010926499323984927, 1270, 405, 204.59016393442624
89, 193, 0.022821281748572952, 0.010803729668659254, 1270, 405, 202.7280197206245
90, 192, 0.022567711951366587, 0.010683688227896374, 1270, 405, 201.65837479270314
91, 192, 0.022319715116736184, 0.010566285060556853, 1270, 405, 199.34618608549877
92, 191, 0.022077109517641226, 0.010451434135985583, 1270, 405, 198.10243492863142
